,Ground_truth,Prediction,trial,trial2
746,for those negligible events that seemed so large to,for those negligitde event that seened so large to,,"
For those neglected events that seemed so large to"
747,"the creatures participating in them . For Lily-yo , Flor","the creatures participating in them . For lily-yo , Flor",,"
The creatures participating in them, for lily-yo, Flor."
748,and Haris there were many events . Chief of these was,and Maris there were many events . Chief of these was,,"
And amongst Maris there were many events. Chief of these was"
749,that they learned to fly properly . The pains associated,that they learned to fly properly . The pains associated,,"
That they learned to fly properly. The pains associated"
750,with their wings soon died away as the wonderful,with their wings soon died away as the wonderful,,"
With their wings soon dwindled away as the wondrous"
751,new flesh and tendon strengthened . To sail up in the,new flesh and tendon strengthened . To sail up in the,,"
New flesh and tendon strengthened. To set sail up in the"
752,light gravity became an increasing delight - the ugly,"light gravity became an increasing delight - the ugl ,",," Light gravity became an increasing delight - the ugly,"
753,flopping movements of flymen on the Heavy World,plopping novement of flymen on the Heavy world,,"
    Plopping movement of flymen on the Heavy world."
754,Alastair was a bachelor . All his life he had,Mostorir was a buchelor . A his life he had,,"
Mostorir was a bachelor. In his life he had"
755,been inclined to regard women as something,been vrickined to regord women as something,,"
been tricked to regard women as something"
756,which must necessarily be subordinated to his,which must necessaily be subordinated to his,,"
which must necessarily be subordinated to his"
757,career . Now he realised that he was entrusting not only,caveer . Now he realised that he was entrusting not only,,"
Caver. Now he realized that he was entrusting not only"
758,"his own life , but Geoffrey's as well , to a strange girl","his own wife , but Geoffrey sas well , to a shonge gul",,"
His own wife, but Geoffrey as well, to a strange girl."
759,whom he had never met and on whom after no more,whom he had never met and on whom after no more,,"
Whom he had never met and upon whom after no more"
760,than a couple of telephone calls he was,than a cuple of telephone calls he was,,"
Than a couple of telephone calls, he was."
761,prepared to place complete reliance .,porepared to place compute reliance,,"
Prepared to place computer reliance"
762,""" Good luck , Air Marshal , "" she said gently . "" I 'll"," Good luck , tir Mausual , "" sue said guntly . ' Ill",,"
Good luck, Tir Mausual,"" Sue said gently. 'I'll"
763,be waiting for you at the Hotel Roma at six this,""" be waiting fer you at the Hotel Roma at Sis this .",,"
""I'll be waiting for you at the Hotel Roma at Six this evening."
764,evening - and I shall look forward to meeting you,evening - and I suall look foward to metting yeu,,"
Evening - and I always look forward to meeting you."
765,"both at midnight . "" They might have been",both at midnight . They might have been,,Both arrived at midnight. They might have been.
766,arranging a supper party . Then she rang off .,arrouging a supper party . Then sue lang of .,,"
Arranging a supper party. Then Sue sang off."
767,Alastair admitted that never in a not altogether,tastair admitted that never in a not altogthe,,"
    Castor admitted that never in a not altogether"
768,uneventful life had he come across a girl who,uneventfil lfe had he come across agire ino,,"
Uneventful life had he come across again ino."
769,sounded so charming and appeared to be so,sounded so charming and appeared to beso,,sounded so charming and appeared to be so
770,It was a novel experience . Alastair was,It was a novel expestence . Alastair was,,"
It was a novel experience. Alastair was"
771,quite unable to explain why he should feel,qui'te unable to explain why he should feel,,"
Quite unable to explain why he should feel."
772,so much confidence in her . Once again,to much confiolence in her . Ouce again,,"
Too much confidence in her. Once again."
773,she checked back her instructions . It was,she checked back her instrutions . It was,,"
She checked back her instructions. It was"
774,obvious that she did not fail to appreciate the,obvious that she bid not fail to appreciate the,,"
It was obvious that she did not fail to appreciate the"
775,faith which he was placing in her and,faith which he was plaing in her and,,"
Faith which he was placing in her and"
776,was prepared to accept the responsibility .,was prepared to accept the resposhlity .,,"
Was prepared to accept the responsibility."
777,For some reason the orderlies had forgotten,for some reason the onderlies had forgotten,,For some reason the underlies had forgotten.
778,to switch on the lights ; there was no colour -,Ar switch on the lighte ; there mue no calour-,,"
    Turn on the light; there is no colour."
779,physical features were distinguishable solely by,physical fatures rere distingnishable solely by,,"
Physical features were distinguishable solely by"
780,gradations of silvery greyness . Even the snow-,gradations of silveny greyness . Even the onor-,,"
Gradations of silvery greyness. Even the honor-"
781,"capped summit of Mont Blanc , seven miles","capped summitt of homt Planc , even miles",,"
Capped summit of Mont Blanc, even miles"
782,"below , was not recognisable among the host","below , was not recognisable amony the irst",,"
Below was not recognizable among the first."
783,of lower peaks . The screen of the air-to-air,of lover peake . The screes of the air-to-ain,,"
    Of love's peak. The screech of the air-to-air."
784,radar glowed . Occasionally minute spots,nadar glowed . Gcasimally minute spots,,"
Nadar glowed, microscopically minute spots."
785,"flickered across its surface , but there was","flickened across its ourface , but there whe",,"
Flickering across its surface, but there were."
786,In the exceptional clarity he was even able to,In the exceptional charity he was even able to,,"
In the exceptional charity, he was even able to."
787,make a direct comparison between the radar,make a direct comparison between the radar,,"
Make a direct comparison between the radars."
788,image and the ground itself . Ahead lay the,image and the greand itself . thead bay the,,"
Image and the grand itself. They'd be the."
789,"Plain of Lombardy ; to the right , Turin ; to the","Plain of Lembardy ; to the right , Turin ; to the",," Plain of Lombardy; to the right, Turin; to the"
790,"left , Milan . The directional angle of the",left Milan . The directional angle of the,,"
Left Milan. The directional angle of the"
791,scanner could be adjusted to cover any,scanner ceuld be adjusted to cever any,,"
    Scanner could be adjusted to cover any"
792,particular area within its range . Geoffrey,"particular area within its range , Geoffrey",,"
Particular area within its range, Geoffrey."
793,turned the scale slowly to cover the,turned the scale stonly # to cover the,,"
turned the scale steadily # to cover the"
794,ground immediately ahead .,ground immediately shead .,,"
Ground immediately shed."
795,"Now , as Alastair reduced the thrust , the","Nor , as Hastain reduced the thrnot , the",,"
Nor, as Hastings reduced the throne, the"
796,pitch changed as the nose of the aircraft,pitch changed as the nose of the aircraf,,"
    Pitch changed as the nose of the aircraft."
797,dipped slightly . The needle of the speed,dipped slightly . The needle of the speed,,"
Dipped slightly, the needle of the speedometer."
798,"recorder swung gently through 8.0 , 7.0 , 6.0","recorder orring gently through 8. 8 , 3. 0, 6.0",,"
    Resonating gently through 8.8, 3.0, 6.0"
799,"before coming to rest at 5.0 . "" We 're a bit","before coming to rest at 5.0 , "" We 'se "" bit",,"
Before coming to rest at 5.0, ""We've"" bit."
800,"ahead of time , "" said Alastair . "" We 'll run","whead of time said Hastair ,. "" He ""ll man",,
801,"in on minimum engine power . "" Geoffrey",in on minimum engine porer . Geotfrey,,
802,smiled . Alastair talked of running in when,omiled . Hastain talked of running in when,,
803,they were still more than four hundred,they were still more than four Lundred,,
804,miles from their destination .,miles from their destination .,,
805,"He was able to pick out towns , unrecognisable to the","He was able to pick out towns , unrecognitable to the",,
806,"naked eye , obscured by the ground haze which even","naked eye , drcured by the groand hase which even",,
807,on the clearest night limited angular vision . He glanced,on she clearest night limited angular vision . He glanced,,
808,at the speed recorder . It seemed almost incredible that,at the speed recorder . It seemed almost incridible that,,
809,the tiny white figure of 8.5 against which the needle,the ting white figure of I.s againrt which the neidle,,
810,was resting could really mean hundreds of knots .,was resting could really mean huindred of knots .,,
811,They were nearing Modena . Geoffrey focused the radar scanner,They were nearing Modena . Geoffrey focused the raclar scammer,,
812,"on the bridge over the Po , barely forty miles to port .","on the bridge over the P0 , burely forty miles to portie",,
813,He was able to trace the course of the river ; he,He wes able to trace the course of the rever ' s,,
814,"thought he could recognise the route of N12 ,","thought he could regoynise the route of . "" Rittle",,
815,along which he had motored so desperately little,along which he had motored so despercitely,,
816,more than twenty-four hours earlier . Since then,"more than twenty-lour hours earlier . Since , then",,
817,"he had flown to England , attended the vital","he had flown to Eigland , attended the vital",,
818,"conference in Bruce Denton's office , been whisked","conference in Bruce 's office , been whisted",,
819,by special helicopter from the Horse Guards,by special helicopter from the Horse Guards,,
820,"Parade to Boscombe Down , slept for six blessed","Parade to Boscombe Doin , slept for D4x. blessed ,",,
821,refreshing hours and had now completed two-thirds,refreshina hours and had now completed two-thureks,,
822,of the journey back to the place where every,"of the isturney back to the place where , every",,
823,indication pointed to Eve being held .,indieation pointed to . . Eve being held .,,
824,Geoffrey set himself to consider the,Jeolfey sed himself to consider the,,
825,movements of the Bentley . It had passed,movement of the Pently . It had passed,,
826,him at the temporary bridge over the,him at the temporary budge over the,,
827,Tartaro at a few minutes past ten on the,Par taro at a flew minites past ten on the,,
828,previous night . He worked out the distance,previous uighet . He worked out the distanc,,
829,on the presumption that its route had been,on the presumghon that its route had been,,
830,through Florence and Rome and then,through Pereme and Pome and ther,,
831,across Italy via Foggia to Barletta .,across ltbly via Forga to Barle tha .,,
832,It came to just over six hundred,It came to gist over i hudred,,
833,DARKNESS had descended like a curtain by the,DARKNESS had descended like a cutain by the,,
834,"time they docked at Belleray . And though Guy ,",time they dockeed at Bellesay . And though hny .,,
835,"made nervous by Beryl's silence , drove at reckless","made nervous by Bery's silence , drove at reckless",,
836,"speed to the Villa , it was quickly evident that","speed to the villa , it was quickly evident that",,
837,the party was over . Piers came strolling out to,the party was over . Piers came strolling out to,,
838,"meet the Deanes , and as soon as Guy had","meet the Deanes , and as soon as bny had",,
839,"driven away , invited them casually to come to","driven away , invited them casually to come to",,
840,""" Oh , she was due ! "" And then he added in the same","ich , she was due ! "" And then he added in the same",,
841,"casual tone , "" She 's not returning to her family . She 's","cesual tone , "" She's not returning to her family . She's",,
842,"going to live with friends of the bank manager , just","going to live with friends of the bank manager , just",,
843,"this side of Belleray . "" Mrs. Deane made a suitable","this side of Belleray . "" Mrs. Jeane made a suitable",,
844,"comment , but Beryl said nothing . She was trying","comment , but Bery ) said nothing . She was trying",,
845,to sort things out in her mind . That beneath his,to sort things out in her mind . That beneath his,,
846,unnaturally smooth exterior Piers was simmering,nunaturally smooth exterior Piers was simmering,,
847,with anger against her she had no doubt .,with anger against her she had no doubt .,,
848,"To Beryl , at least , this was anti-climax with a","To Bery ' , at least , this was anti-climax with a",,
849,vengeance . She had expected to be met with violent,vengeance . She had expected tobe met with vident,,
850,reproaches - and here he was bland and smiling .,reproaches - and here he was bland and smiling .,,
851,But it did not take her long to realise that his mood,But it did not take her long to realise that his mood,,
852,was less pleasant than appeared on the surface .,was less pleasant than appeared on the surfuce .,,
853,"He told her nonchalantly , as he led the way to his","He told her nonchulantly , as he led the way to his",,
854,"own veranda , that he had taken the liberty of","own veranda , that he had taken the liberty of",,
855,asking Jack - as a representative of the Vallin family -,ashing Jack - as a representutive of the Vallin family-,,
856,to come over and make the presentation in her stead .,to come over und make the presentution in her stead .,,
857,""" I caught him just as he was going to the",""" I cught him just as he was going to the",,
858,"airport to meet Blanche , "" he said . "" As a matter","airport to meet Blanche , "" he said . "" As a motter",,
859,of fact I 'd asked him last night to deputise,of fuct I 'd ashed him last night to depntise,,
860,for me and fetch her . He brought her to the party,for me and fetch her . He brought her to the party,,
861,"too . They 're both here . "" "" I didn't know she was","too . They 're both here . "" "" I didr't know she was",,
862,"coming back from Barbados so soon . "" Beryl","coming back from Barbados aso soon . "" Beryh",,
863,said the first thing that came into her head .,said the first thing that came into her head .,,
864,"Jack and Blanche were quick to sympathise , and to",dacle and Glunke were quick to symgathice and to,,
865,express their disgust at Sir John's abominable treatment,apes their disgest of Sir thais alominable treadment,,
866,"of his guests . But Piers remained aloof , and when Beryl","of his qguests . B . Piers remained alof , and when Bery'",,
867,"suggested having a second party , the following week , he","sugrested havins a second furty , the following week , he",,
868,"poured cold water on the project . Everyone , he declared ,","poried old wates on the parijed . Evaryone , he delared ,",,
869,"had had a thoroughly good time , and it would take them","had had a thoroghty good time , and it would take them",,
870,nearly to next week to settle down again . Meanwhile,mearly to nest week to settle down again . Meanwhile,,
871,Hubert would have betaken himself and his well-,stutest would have betalen hmself and hais well-,,
872,earned gratuity to his native village at the,earned gratunty tho his natise village at the,,
873,""" It 's your superior attitude that riles me . "" Beryl was",nlt's your supesior atfitude that siles me . ' Bery l was,,
874,"scarlet with annoyance . "" How I happened to be marooned","scartet with annoyance . "" Now I hapened to be marsoned",,
875,at Balicou doesn't interest you in the faintest degree . You,at Calicon dresn't interest you in the faintest degree Your,,
876,"look as though it was only what you expected of me ,","lok as thoungh it was only what you exgected of me ,",,
877,as though I didn't care a hoot about letting Hubert,as though I didnt care a host about letting tmbert,,
878,It was all over and done with .,It was all over and done with .,,
879,For the time being Beryl was content to let,For the time being beryl was content to let,,
880,"it go at that , but she resolved to have","it go at that , but she resolved to have",,
881,it out with Piers when a reasonable,it out with Piers when a reasonable,,
882,opportunity presented itself . He must,opportunity presented itself . He must,,
883,learn that he could not treat her,learn that he could not treat her,,
884,"with injustice and contempt , ignoring","with injnstice and contempt , ghoring",,
885,her explanations as though he were,has explanatrons as though he were,,
886,"a schoolmaster and she a small ,","a Schoolmastes and she a small ,",,
887,He gave her no chance of any private,He gave hes no chance of any private,,
888,"conversation that evening , for when","conversation that evening , for when",,
889,"Blanche and Jack left , he went with","(B lanche and Tack left , ho wht with",,
890,them . But next morning she insisted,them . But next morning she insisted,,
891,on his taking her out in the jeep -,on his taling hes out in the jeep-,,
892,"to find , if possible , Hubert and his","to find , if possible , inbert and his",,
893,"relations , and tell them of","relations , and thett tell them of",,
894,her great disappointment at being,her great disappointment at berg,,
895,held up in Balicou .,hel p up in Dahicon .,,
896,"With an air of resignation he sent Judy , his","Nith an air of resigation he sent ludy , his",,
897,"Boxer , to the back , and made room for her","Boxer , to the back , and made room for her",,
898,"beside him . "" Is that all you want to do ? ""","beside him . ' Is that all you vast to do ? """,,
899,"he asked , letting in the clutch . "" No ; I want","he ashed , letting in the chutch . "" No ; I vost",,
900,to make you understand just what happened,to make you understard jurst what happered,,
901,"about this Balicou trip , "" she returned","about this Balicon trip , "" she returned",,
902,"coldly . "" I 'm a little tired of being treated","coldly . "" I 'm a little tired of being treated",,
903,"like an ineffective imbecile . ""","like an ineffective imbecile . """,,
904,""" And I 'm heartily sick of being constantly called",""" and I 'm heardily sick of being ronstantly called",,
905,"to account for my manners , "" he retorted .","to account for my maners , "" he retooted .",,
906,""" What have I done wrong now ? I cover up for",""" What have I done wrong now ? I cover up for",,
907,you the best way I can by getting hold of Jack,"you the best way I can by setling hold of Vac,",,
908,"to make the presentation , I run the damned","to make the presentation , Iou the damned",,
909,party to the best of my ability - saying the,party to the bert of my ability - saying the,,
910,sugary things you ought to have been there,sugary things you ought to have been there,,
911,to say - and all you can do is to find,to say- and all you can do is to find #,,
912,""" As your employee it 's not my business",""" As your employee it's not my business",,
913,to understand all the whys and,to understand all the whys and,,
914,"wherefores of your actions , "" he said","wherefores of your actions , "" he said",,
915,"stiffly . "" Still less to criticise you . ""","stiffly . "" Still less to criticise you . '",,
916,""" Oh , drop that nonsense , Piers !","""Oh , drop that nouseuse , Piers #",,
917,"Be yourself , "" she exclaimed , with","Be yourself , "" she exclaimed , with",,
918,"mounting exasperation . "" Very well ! "" He","mounting exasperation . ' Very well ? "" He",,
919,brought the jeep to a standstill in a rough,brought the jeep to a standstill in a rough,,
920,path fringed and shaded by citrus trees .,path fringed and shaded by citus trees .,,
921,""" If you want my true opinion I 'll give it .",""" If you want my tre opinion I 'll pive it .",,
922,You made some sort of a protest to Graybury .,You made some sort of a protest to Graybury .,,
923,I 'll give you credit for that . But you didn't press,I ll give you credit for that . But you didn't press,,
924,"the matter because , very naturally , you were","the matter because , very naturally , you were",,
925,thoroughly enjoying Forrest's company in,thoroughly enjoying Forest's company in,,
926,"idyllic surroundings . "" "" How dare you say","idylic surroundings . "" "" How dare you say",,
927,"such a thing ? "" she blazed . "" For goodness'",such a thing ? ' she blaped . ' For goodness ',,
928,"sake show a glimmer of reason , "" was his","sake show a glimmer of reason , "" was his",,
929,equally indignant rejoinder .,equally indiquent rejoinder .,,
930,""" You talk as though we were alone on Balicou ! """,""" You talk as though we were alone on Balicon ! """,,
931,"She avoided his gaze , and tried to ignore that","She avoided his gaze , and tried to iquore that",,
932,"last impertinent remark . "" With four other people - ""","last impertivent remark . "" with four other people-'",,
933,""" Whom you never once managed to circumvent . """,""" Whom you never once managed to circumient . """,,
934,"The mockery in his voice had deepened . "" With","The mackery in his voice had deepened . "" with",,
935,"all due deference , Miss Deane - come off it ! ""","all due deference , Miss Deane - come off it ! '""",,
936,She met his eyes then .,sue cuet his eyes then .,,
937,"She wavered , and at last said","She wavered , and at last said #",,
938,"slowly , "" If you must drag the truth","slowly , "" If you must dray the truth",,
939,"out of me , I must ask you to regard","out of me , I must ask you to regard",,
940,"it as confidential . "" "" My dear Beryl ,","it as confidential . "" "" My dear bery ,",,
941,"don't tell me anything , if you 'd rather","don't tell me anything , if youid rather",,
942,"not . "" He was clearly startled by her","not . "" He was clearly startled by hes",,
943,"words . "" But remember , it was you ,","words . "" But remember , it was you ,",,
944,"not I , who started this conversation . ""","not ) , who started this conversation . """,,
945,""" Neither can Nigel , "" smiled Diana .",""" Neither Can Nigel , "" smiled Diana .",,
946,""" He 's saving up to get married . Remember ? """,""" He's saving up to get married . Remember ? """,,
947,""" I remember , "" quipped the houseman ,",""" I remember , "" qupped the houseman ,",,
948,"meaning no offence , "" but does he ?","meaning no offence , "" but does he ?",,
949,"That blonde was something . "" "" Anybody","That blonde was something . "" "" Anybody",,
950,"I know ? "" she smiled . "" I think so .","y know ? "" She smiled . "" O think so .",,
951,I got a good look at her . But if Nigel,"""got a good look at her . But if Nigel",,
952,"wasn't there it isn't important , is it ? ""","wasn't there it 1't important , is it ? """,,
953,""" No , "" Di said immediately . "" It isn't at",""" No , "" Di said immediatly . "" It isn't at",,
954,""" Oh , he wasn't . His motor-bike had",""" On , he wasn't . His motor-bike had",,
955,broken down outside and he noticed,broten down autside and he noticed,,
956,your car and then you dancing with,your car and then you dancing with,,
957,"this blonde . "" "" Really ? "" Nigel cocked","this blonde . "" "" Really ? "" Nigel coded",,
958,"one eyebrow . "" Actually she was brunette","one eyebrow . "" Actually she was brunette",,
959,at the roots and I had a redhead on,at the roots and I had a redhead an,,
960,the other arm . He would have told,the other arm . He would have told,,
961,"you this , too ? "" "" No , "" she laughed .","you this , too ? "" "" No , "" she langhed .",,
962,""" He didn't actually see you . Because",""" He didn't actually see yon . Because",,
963,it was your car I suppose he,it was your car I suppose he,,
964,"presumed it was you , all dressed up in","presumed it was you , all dressed up in",,
965,""" My white or my black ? "" Nigel enquired .",""" My white or my black ? "" Nigel enquired .",,
966,""" Now I wonder which I wore at that",""" Now I wondes which I wore at that",,
967,"particular surgery ? "" "" You are a fool ,","particular surgesy ? "" "" You ate a fool ,",,
968,"darling , "" Di said happily . "" I shall take","darling , "" Di said happily . "" I shall take",,
969,great pleasure in telling that young man,great pleasure in telling that young man,,
970,exactly what you were doing that,exatly what you were doing that,,
971,"evening . "" "" No , don't , "" he said , after","evening . "" "" No , don't , "" he said , after",,
972,"kissing her again . "" I rather like to have","feissing her again . "" I rother like to have",,
973,the housemen think of me as a,the housemen think of me as a,,
974,"I 'm such a dull fellow , really . "" "" Dull ? "" She","I 'm such a dull fellow , really . "" "" Dul ? "" She",,
975,couldn't believe it . Self-deprecation,Couldn't believe it . Self-depre cation,,
976,was not one of Nigel's usual attributes .,was not one of Nigel's usual attibutes .,,
977,""" You need your holiday , darling . I only",""" you need your holiday , darling . Tonly",,
978,"wish I could go with you ! "" "" Doctor","wish y could go with you l "" "" Doctor",,
979,"Wills , if you 're making improper suggestions ... ? ""","wills , if you're making improper susgestions . """,,
980,""" It would make me more interesting ,",""" It would make me more interesting . "" .",,
981,"I suppose ? "" she enquired archly .","I suppose ? , "" she enquired archly .",,
982,""" No , it wouldn't ! "" he almost snapped ,",""" No , it wouldn't ! "" he almast snapped .",,
983,"surprising her . "" You sounded like some-","Surprising her . "" You sounded like some-",,
984,body else for a moment there . It doesn't,body etse for a moment there . It doesn't,,
985,"become you to behave like a - a tart , Di . """,become you to behave like a - a tart . Di. ',,
986,""" Nigel - ! "" she gasped . "" I didn't mean to",""" Nigel - ! "" she gasped . "" I didn't mean to",,
987,behave like anything of the kind . I,behave like anything of the leond . I,,
988,"was only joking . "" "" Well , don't . It 's","was onlyjoking . "" "" Well , don't . It's",,
989,miserable enough my having to take my,miserable enough my having to take my,,
990,leave in the autumn without you,leave in the autumn withont you,,
991,trying to be bright and gay about it .,trying to be bright and gay about it .,,
992,Their air of smiling somnolence showed them,Their air of smiling somnodence showed them,,
993,to have been guests at yesterday's,to have been quests at yesterday's,,
994,"celebrations , and their friendly welcome","celebrations , and their friendly welcome",,
995,"and warm sympathy , as she explained","and warm sympathy , as she explained",,
996,"how she had come to miss the party ,","how she had come to miss the party ,",,
997,made her send a complacent glance,made her send a complacent glance,,
998,in Piers' direction . What a fuss-box the,in Piers' direction . What a fuss-boox the,,
999,"man was , she thought impatiently ,","man was , she thought mpatintly ,",,
1000,trying to worry her into the belief,trying to wory her into the belief,,
1001,that her failure to appear at a function,that her failure to appear at a function,,
1002,on the estate was a major error :,on the estate was a major exror .,,
1003,"And then she received a jolt . Old Hubert , standing","hand then she received a jolt . Old Hubert , standing",,
1004,"beside her , his battered hat in his hand , his","beside her , his buttered hat in his hand , his",,
1005,"toothless mouth stretched in a wide grin , told her","tookless moult stretched in a mideguin , told her",,
1006,"in halting 6patois that "" 3Mistah Piers "" had","in halting 6patois that "" D Mistah Piers "" had",,
1007,"explained right at the start that "" 3Mis' Beryl ""","coxplaimed right at the start that "" B tis ' Beryl """,,
1008,"would be 3"" plenty , plenty sad "" not to be back","would be z""plenty , plenty sad "" not to be bacdk at",,
1009,That it wouldn't be her fault at all . That,That it nouldn't be her fault at all . That,,
1010,"she was a lady who , like her Uncle Charles ,","she was a lady who , like hes Unde Charla ,",,
1011,"took the highest pride in keeping her word . "" I","tock the highest pricde in keping her word . "" )",,
1012,"could see 3anudder 3t'ing , "" he went on in a","could see Bander St ing , "" he west on in a",,
1013,"lower voice , his sunken black eyes twinkling .","lower voice , his suaken black eyes twtnkling .",,
1014,"3"" He powerful anxious , poor Mistah Piers .","s"" te powerful antious , pour Mistak Prers .",,
1015,We all know how Balicou Island dangerous,We all know how Balicon bland dangerous,,
1016,"to all kin' o' boats , wid d'ose big , big","to all Kint or boats , wid dlose big , big",,
1017,rocks in an' out o' de water .,rocks in an ' cout ol de coeter .,,
1018,He had almost entirely settled back into his old,He had almost entirely setted back isto bis old,,
1019,"ways , even to reading law about two hours each","mays , ecens to reading hu abost two bours each",,
1020,"day . Though he did not refuse wine , which the","day . Though be dlt not refuse wine , which the",,
1021,"judge always had on the table at dinner , he",iudge alhgus bnd on the table at disse he,,
1022,did not act as though he found it necessary,did not act as though he fornd it necessay,,
1023,except in moderate compliance with his father's,except is moderste complionce with bis fakerbse,,
1024,Around that rounded rocky promontory where the,Around othat rounded rody promontory where the,,
1025,white spray could be seen flying across the distance,white spray could be seen flying acrows the distaice,,
1026,"of a mile and a half , came the yawl under her full","of a mite and a half , came the yowl under har full",,
1027,"triangular sail , and to the judge's frightened eyes , so","triangutar sail , and to the judge's frightend eyes , so",,
1028,close to the rocks that it would be dashed,elose to the rocks that it would be dashed,,
1029,against them with the lift of the next wave .,against them with the lift ofthe next ware,,
1030,""" That boy ! That damned fool boy ! What does he mean", That boy ? That damned fool boy I What doer he mican,,
1031,"by trying to come home now , even if he did promise ?","by toying to come home now , even if he ofd promce ?",,
1032,What does time mean when weighed against the life of,What doer time mean when waghed apainst the life of,,
1033,"two human beings ? "" Not until he was certain that the","two humen beeirgs ? "" Not will he was certain that the",,
1034,yawl had rounded the rocky point instead of,yaul had rounded the rocky point instead of,,
1035,being flung against the huge boulders did the judge,being fuing apainst the hnge bouldrs did the judge,,
1036,empty his lungs of stifling air and refill them,emply hit mugs of st.fing air and refill them,,
1037,with part of that howling northwest gale .,with part of thet howling north hert fak .,,
1038,"When the wind was on a rampage , as it was","Whan the wind was on a rampage , as it was",,
1039,"now , it could kick up a sea-sized commotion","now , it could kick up a sea-sited commotion",,
1040,where it had a straight blow of eight miles,where it had a straight blow of eight miles,,
1041,"down the lake . 3"" Big blow , Judge , "" re-","down the late . 3 "" Big blow , Judge , "" re-",,
1042,marked Willie Kim as the wind billowed,marked Willie him as the wind billowed,,
1043,out and sucked in his baggy black,out and stucked in his bagy black,,
1044,"3"" Blow like hell . Maybe by and by","?3 "" Dlow tike hell . Noube by and by",,
1045,"she blow some more . "" "" Hello , Willie , where","she blow some more . "" "" Hells , Willie , where",,
1046,"did you come from ? "" the judge said in","did your come from ? "" the ijndge sand in",,
1047,"mild surprise . "" I didn't hear you . Do you","wild surpvise . "" I didn't hear you . To your",,
1048,see that fool boy of mine out there on,see that fool boy of mine out there on,,
1049,"the lake ? "" 3"" I see him . You don't need","the lake ? "" 3 "" ( see hum . You don't need",,
1050,"worry , Judge . Big wind like that can't","worry , fudge . Ing wind like that con't",,
1051,"Bill is good man , and Bueno Buck is raised on lake .","Bill is good man , and Breno Buckis roised on lake ,",,
1052,"He no drown , too . Him , his mother throw him into","He no drown , too . Him , his mother throw himinto",,
1053,water to make him swim when he is born .,Water to make him sarim whin he ig form .,,
1054,"Maybe so Bill , he can swim that good , too . ""","Mayse so Bill , he can suim that good , too .""",,
1055,"The yawl , riding the high waves with an air that","The yaul , riding the high ware , with on ais that",,
1056,"might have made an ocean liner envious , seemed","might have made an occon tiner euvious , seemed",,
1057,prepared to make a safe though violent landing,prepared to make a safe though viodent landing,,
1058,when there came a sudden gust of wind,when there came a sudden got gust of wind,,
1059,""" My God ! "" the judge cried out . "" The boy",""" My God ! "" the judge cried out . "" The boy",,
1060,is going to try to make a landing on the,is gaing to try to make a landing on the,,
1061,"weather side of that pier ! He 'll wreck ! ""","weather side of that pier ! He ""l sreck ! """,,
1062,"Willie Kim was speechless , only his slant","Willie kim was speechless , only his slant",,
1063,black eyes showing any emotion . With a,black eyes shosing any enstion . Sith a,,
1064,"quick shift of tiller , and at the same time","quick shift of tiller , and at the same time",,
1065,jibbing the boom to which he had the,jibbing the boom to shich he had the,,
1066,"stay rope fastened , Bill made the","stay rope fastened , Bill made the",,
1067,It seemed to the frightened judge,It seemed to the frightened judge,,
1068,as though his son would actually,as though his son would actually,,
1069,shoot the craft in under the outer,shoot the cralt in under the outer,,
1070,end of the wharf . But by pressing,end of the wharf . But by plessing,,
1071,the tiller hard over and at the,the tilles had over and at the,,
1072,same time dropping the small sheet,soue time dropping the small sheet,,
1073,"of wet canvas , Bill cleared the","of wet caras , bill cleared the",,
1074,"corner of the pier by inches , and","corhes of the pies by inches , and",,
1075,"with the tiller still hard over , brought","with the tiller still had over , brought",,
1076,the yawl up against the waves,the yourl up against the waves,,
1077,""" Willie , "" the judge said huskily ,",""" Willie , "" the judve said hurkily ,",,
1078,""" that was as pretty a piece of seamans-",""" that mas as prety a piece of Sealuaur-",,
1079,hip as I ever saw . That boy of,hip ar Jever vaw . That hoy of,,
1080,mine seems to know how to do,misre seens to know how to do,,
1081,"everything , when he wants to . ""","everytering , when he mants to , """,,
1082,""" 3Naw , "" disputed Willie . 3"" Just","a I Naw , "" hispuated Willie , 3 ' Tust",,
1083,play in damn fine luck this time .,play in dams fone luck this timue .,,
1084,"He plenty smart though . "" As they","He Plunty rmart thoupt . "" As they",,
1085,"reached the pier , the judge on legs","rached the pier , the judge our lgs",,
1086,"that were a little unsteady , they","that were a little urteady , threy",,
1087,"found Bueno Buck , now on the","foed fueno Buck , now on the",,
1088,"pier , leading the yawl toward",fier leading th hauhthard,,
1089,""" Hello , Dad ! "" Bill called . "" I hope you","Hello , Tod : "" Fall called . "" I hope you",,
1090,weren't worried . We 're going to,weree't woned . We re going to,,
1091,drag the boat ashore and turn,drog the boat arhore and twrn,,
1092,her over . She has a foot of,her over . The hos a foot of,,
1093,water in her . I wouldn't be,wrate in her . Iwoeldn if he,,
1094,surprised if we broke all,fcurpised if we broke all,,
1095,speed records on the way in .,espeed recordr on the woy in .,,
1096,"Yes sir , I am slightly wet , and","fer sirs tam shightly wet , and",,
1097,Buck would be wetter if he,fuh would . We wetter i th he,,
1098,"had more clothes on . """,had more clother or .,,
1099,With four doing the job and the waves,With four cloing the jobs and the waves,,
1100,"pushing at the stern , the yawl was soon","pusthing at the stern , the yaul was soon",,
